Nr;Color;Sensor0;Red0;Green0;Blue0;Intensity0;Sensor1;Red1;Green1;Blue1;Intensity1
108222;Orange;0;17;20;14;5;1;32;32;26;10
108223;Orange;0;17;20;7;5;1;32;33;26;10
108224;Orange;0;17;20;14;5;1;32;33;26;10
108225;Orange;0;17;20;14;5;1;32;33;26;10
108226;Orange;0;17;20;14;5;1;32;33;26;10
108227;Orange;0;17;20;14;5;1;32;33;26;10
108228;Orange;0;17;19;14;5;1;32;32;26;10
108229;Orange;0;17;20;14;5;1;32;33;26;10
108230;Orange;0;17;20;14;5;1;32;33;26;10
108231;Orange;0;17;20;14;5;1;32;33;26;10
108232;Orange;0;17;19;14;5;1;32;33;26;10
108233;Orange;0;17;20;14;5;1;32;33;26;10
108234;Orange;0;17;24;14;5;1;32;33;26;10
108235;Orange;0;17;19;14;5;1;32;33;26;10
108236;Orange;0;17;20;14;5;1;32;33;26;10
108237;Orange;0;17;19;14;5;1;32;33;26;10
108238;Orange;0;17;20;14;5;1;32;33;26;10
108239;Orange;0;17;20;14;5;1;32;33;26;10
108240;Orange;0;17;20;14;5;1;32;32;26;10
108241;Orange;0;17;20;14;5;1;32;32;26;10
108242;Orange;0;17;20;14;5;1;32;33;26;10
108243;Orange;0;17;20;14;5;1;32;33;26;10
108244;Orange;0;17;20;14;5;1;32;33;26;10
108245;Orange;0;17;20;15;5;1;32;33;26;10
108246;Orange;0;17;20;14;5;1;32;33;26;10
108247;Orange;0;17;20;14;5;1;32;33;26;10
108248;Orange;0;17;20;14;5;1;32;33;26;10
108249;Orange;0;17;20;14;5;1;32;33;26;10
108250;Orange;0;17;20;14;5;1;32;33;26;5
108251;Orange;0;17;20;14;5;1;32;33;26;10
108252;Orange;0;17;20;14;5;1;32;32;26;10
108253;Orange;0;17;20;14;8;1;32;33;26;10
108254;Orange;0;17;20;14;5;1;32;33;26;10
108255;Orange;0;17;20;14;5;1;32;33;26;10
108256;Orange;0;17;20;15;5;1;32;33;26;10
108257;Orange;0;17;20;14;5;1;32;33;26;10
108258;Orange;0;17;20;14;5;1;32;33;26;10
108259;Orange;0;17;19;13;5;1;32;33;26;10
108260;Orange;0;17;20;14;5;1;32;33;26;10
108261;Orange;0;17;20;14;5;1;32;33;26;10
108262;Orange;0;17;20;15;5;1;32;33;26;10
108263;Orange;0;17;20;14;5;1;32;33;26;10
108264;Orange;0;17;20;14;5;1;32;32;23;10
108265;Orange;0;17;20;14;5;1;32;33;26;10
108266;Orange;0;17;20;15;5;1;32;33;26;10
108267;Orange;0;17;20;15;5;1;32;33;26;10
108268;Orange;0;17;20;14;5;1;32;33;26;10
108269;Orange;0;24;20;14;5;1;32;33;26;10
108270;Orange;0;17;20;14;5;1;32;33;26;10
108271;Orange;0;17;20;14;5;1;32;32;26;10
108272;Orange;0;17;20;14;5;1;31;33;26;10
108273;Orange;0;17;20;15;5;1;32;33;26;10
108274;Orange;0;17;20;14;5;1;32;33;26;10
108275;Orange;0;17;20;14;5;1;32;33;26;10
108276;Orange;0;17;20;14;5;1;32;33;26;10
108277;Orange;0;17;20;14;5;1;32;33;26;10
108278;Orange;0;17;20;14;5;1;32;33;26;10
108279;Orange;0;17;20;14;5;1;32;33;26;10
108280;Orange;0;17;20;15;5;1;32;33;26;10
108281;Orange;0;17;20;14;5;1;32;36;26;10
108282;Orange;0;17;20;14;5;1;32;33;26;10
108283;Orange;0;17;20;14;5;1;32;33;26;10
108284;Orange;0;17;20;14;5;1;32;33;26;10
108285;Orange;0;17;20;15;5;1;32;33;26;3
108286;Orange;0;17;20;15;5;1;32;33;26;10
108287;Orange;0;17;20;14;5;1;32;33;26;10
108288;Orange;0;17;20;15;5;1;32;33;26;10
108289;Orange;0;17;20;14;5;1;32;33;26;10
108290;Orange;0;17;20;14;5;1;32;32;26;10
108291;Orange;0;17;20;14;5;1;32;33;26;10
108292;Orange;0;17;20;14;5;1;32;33;26;10
108293;Orange;0;17;20;14;5;1;32;33;26;10
108294;Orange;0;17;20;15;5;1;32;33;26;10
108295;Orange;0;17;20;14;5;1;32;32;26;10
108296;Orange;0;17;20;14;5;1;32;32;26;10
108297;Orange;0;17;20;14;5;1;32;33;26;10
108298;Orange;0;17;20;14;5;1;32;33;26;10
108299;Orange;0;17;20;14;5;1;32;33;26;10
108300;Orange;0;17;20;14;5;1;32;32;26;10
108301;Orange;0;17;20;15;5;1;32;33;26;10
108302;Orange;0;18;20;14;5;1;32;32;26;10
108303;Orange;0;17;20;14;5;1;32;33;26;10
